Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
NCB24,8.724733056765684,Low Fat,0.04515120535674105,Canned,76.42943391159204,OUT018,2009,Medium,Tier 3,Supermarket Type2,1099.0229038537068
FDN81,14.925100498588753,Regular,0.08132003846257303,Canned,93.3493553764407,OUT017,2007,,Tier 2,Supermarket Type1,1965.6239818346214
FDB30,11.306695524522087,Low Fat,0.0,Hard Drinks,136.69923546360138,OUT035,2004,Small,Tier 2,Supermarket Type1,1653.6131545403439
DRC92,4.701539984574147,Low Fat,0.05698293423499666,Frozen Foods,105.24466638681344,OUT035,2004,Small,Tier 2,Supermarket Type1,1704.8358054866828
FDN84,6.630115238903857,Regular,0.054494097143840084,Breakfast,61.47761658830896,OUT019,1985,Small,Tier 1,Grocery Store,346.9644564524307
FDB33,10.024862219481003,Low Fat,0.13598358447047035,Frozen Foods,144.82819302569612,OUT018,2009,Medium,Tier 3,Supermarket Type2,1857.451139347193
FDN31,14.104999510092567,reg,0.011862751205699682,Breakfast,151.6803489150822,OUT035,2004,Small,Tier 2,Supermarket Type1,2127.752162798924
FDB11,,Low Fat,0.03882512335835195,Fruits and Vegetables,68.45460020553583,OUT027,1985,Medium,Tier 3,Supermarket Type3,1586.9599147679533
NCB39,17.948940009424472,LF,0.05995258570354258,Fruits and Vegetables,72.13794006873162,OUT045,2002,,Tier 2,Supermarket Type1,1410.4624452870667
DRC73,13.906672431187097,Regular,0.044003451172277275,Others,37.925910021915065,OUT049,1999,Medium,Tier 1,Supermarket Type1,596.6436779409181
NCB30,5.75579710442695,LF,0.03590749553399223,Household,38.16274676758591,OUT017,2007,,Tier 2,Supermarket Type1,394.6254101482509
FDA85,9.360406936714636,Low Fat,0.21774383523963028,Snack Foods,115.63696492584015,OUT046,1997,Small,Tier 1,Supermarket Type1,2423.948250101861
DRC31,,Low Fat,0.17085304933438458,Breakfast,65.60995191410143,OUT027,1985,Medium,Tier 3,Supermarket Type3,2854.604565010742
FDB98,15.069192148465323,LF,0.056720845872099,Fruits and Vegetables,247.90562830635338,OUT045,2002,,Tier 2,Supermarket Type1,4763.226159422325
FDA68,5.603701590657299,Regular,0.03474366721641351,Snack Foods,78.06174476258116,OUT013,1987,High,Tier 3,Supermarket Type1,1791.620709504101
DRC69,13.513290426508046,Low Fat,0.08448347788829269,Canned,46.56693468648246,OUT010,1998,,Tier 3,Grocery Store,332.8100754112855
FDN64,19.82489779446002,Regular,0.04316143043669354,Canned,126.38409200871395,OUT010,1998,,Tier 3,Grocery Store,827.766953244703
NCB73,16.49235582685585,low fat,0.32,Baking Goods,76.42196202107658,OUT018,2009,Medium,Tier 3,Supermarket Type2,1167.4207528113352
FDA12,18.050305711566857,Regular,0.06948975697602966,Breads,45.577563903550995,OUT019,1985,Small,Tier 1,Grocery Store,325.71759166735876
FDB60,16.08848602210425,Regular,0.004235653011823551,Breakfast,208.6436828047325,OUT045,2002,,Tier 2,Supermarket Type1,3585.121109746079
FDB82,8.012014906934068,LF,0.030840907730091387,Breakfast,162.47524523614487,OUT035,2004,Small,Tier 2,Supermarket Type1,2364.775063040435
